CIDADE_INI,CIDADE_FIM,N_AUTOS,EMPRESA,DESCRICAO,CARACTERISTICA
ADAMANTINA,AMERICANA,7847A,EXPRESSO ADAMANTINA LTDA,TUPI PAULISTA - CAMPINAS,Rodoviária Convencional
ADAMANTINA,ARAÇATUBA,7047A,VAT  VIACAO ADAMANTINA DE TRANSPORTES LTDA ,ADAMANTINA - ARACATUBA,Rodoviária Convencional
ADAMANTINA,BASTOS,4801A,EXPRESSO ADAMANTINA LTDA,MARILIA - DRACENA,Rodoviária Convencional
ADAMANTINA,BAURU,5081A,VIAÇÃO PIRACICABANA S/A,ADAMANTINA - SÃO PAULO(BARRA FUNDA),Rodoviária Convencional
ADAMANTINA,BAURU,5081E,VIAÇÃO PIRACICABANA S/A,ADAMANTINA - SÃO PAULO(BARRA FUNDA),Rodoviário Executivo
ADAMANTINA,BAURU,5081L,VIAÇÃO PIRACICABANA S/A,TUPI PAULISTA - SÃO PAULO(BARRA FUNDA),Rodoviário Leito
ADAMANTINA,BAURU,8355A,VIAÇÃO PIRACICABANA S/A,PANORAMA - BAURU,Rodoviária Convencional
ADAMANTINA,BAURU,8355E,VIAÇÃO PIRACICABANA S/A,PANORAMA - BAURU,Rodoviário Executivo
ADAMANTINA,BENTO DE ABREU,7047A,VAT  VIACAO ADAMANTINA DE TRANSPORTES LTDA ,ADAMANTINA - ARACATUBA,Rodoviária Convencional
ADAMANTINA,CAIABU,7084A,JANDAIA TRANSPORTES E TURISMO LTDA,CAIABU - PRESIDENTE PRUDENTE,Semiurbana
ADAMANTINA,CAMPINAS,7847A,EXPRESSO ADAMANTINA LTDA,TUPI PAULISTA - CAMPINAS,Rodoviária Convencional
ADAMANTINA,DRACENA,4801A,EXPRESSO ADAMANTINA LTDA,MARILIA - DRACENA,Rodoviária Convencional
ADAMANTINA,DRACENA,5081A,VIAÇÃO PIRACICABANA S/A,ADAMANTINA - SÃO PAULO(BARRA FUNDA),Rodoviária Convencional
ADAMANTINA,DRACENA,5081E,VIAÇÃO PIRACICABANA S/A,ADAMANTINA - SÃO PAULO(BARRA FUNDA),Rodoviário Executivo
ADAMANTINA,DRACENA,5081L,VIAÇÃO PIRACICABANA S/A,TUPI PAULISTA - SÃO PAULO(BARRA FUNDA),Rodoviário Leito
ADAMANTINA,DRACENA,8355A,VIAÇÃO PIRACICABANA S/A,PANORAMA - BAURU,Rodoviária Convencional
ADAMANTINA,DRACENA,8355E,VIAÇÃO PIRACICABANA S/A,PANORAMA - BAURU,Rodoviário Executivo
ADAMANTINA,FLORA RICA,5888A,EXPRESSO ADAMANTINA LTDA,PACAEMBU - ADAMANTINA,Semiurbana
ADAMANTINA,FLÓRIDA PAULISTA,4801A,EXPRESSO ADAMANTINA LTDA,MARILIA - DRACENA,Rodoviária Convencional
ADAMANTINA,FLÓRIDA PAULISTA,5888A,EXPRESSO ADAMANTINA LTDA,PACAEMBU - ADAMANTINA,Semiurbana
ADAMANTINA,FLÓRIDA PAULISTA,8355A,VIAÇÃO PIRACICABANA S/A,PANORAMA - BAURU,Rodoviária Convencional
ADAMANTINA,FLÓRIDA PAULISTA,8355E,VIAÇÃO PIRACICABANA S/A,PANORAMA - BAURU,Rodoviário Executivo
ADAMANTINA,GARÇA,5081A,VIAÇÃO PIRACICABANA S/A,ADAMANTINA - SÃO PAULO(BARRA FUNDA),Rodoviária Convencional
ADAMANTINA,GARÇA,5081E,VIAÇÃO PIRACICABANA S/A,ADAMANTINA - SÃO PAULO(BARRA FUNDA),Rodoviário Executivo
ADAMANTINA,GARÇA,5081L,VIAÇÃO PIRACICABANA S/A,TUPI PAULISTA - SÃO PAULO(BARRA FUNDA),Rodoviário Leito
ADAMANTINA,GARÇA,8355A,VIAÇÃO PIRACICABANA S/A,PANORAMA - BAURU,Rodoviária Convencional
ADAMANTINA,GARÇA,8355E,VIAÇÃO PIRACICABANA S/A,PANORAMA - BAURU,Rodoviário Executivo
ADAMANTINA,GUARARAPES,7047A,VAT  VIACAO ADAMANTINA DE TRANSPORTES LTDA ,ADAMANTINA - ARACATUBA,Rodoviária Convencional
ADAMANTINA,HERCULÂNDIA,4801A,EXPRESSO ADAMANTINA LTDA,MARILIA - DRACENA,Rodoviária Convencional
ADAMANTINA,IACRI,4801A,EXPRESSO ADAMANTINA LTDA,MARILIA - DRACENA,Rodoviária Convencional
ADAMANTINA,INDIANA,7084A,JANDAIA TRANSPORTES E TURISMO LTDA,CAIABU - PRESIDENTE PRUDENTE,Semiurbana
ADAMANTINA,INDIANA,7089A,JANDAIA TRANSPORTES E TURISMO LTDA,ADAMANTINA - PRESIDENTE PRUDENTE,Semiurbana
ADAMANTINA,INÚBIA PAULISTA,4801A,EXPRESSO ADAMANTINA LTDA,MARILIA - DRACENA,Rodoviária Convencional
ADAMANTINA,INÚBIA PAULISTA,9107A,EXPRESSO ADAMANTINA LTDA,PARAPUA - ADAMANTINA,Semiurbana
ADAMANTINA,IRAPURU,4801A,EXPRESSO ADAMANTINA LTDA,MARILIA - DRACENA,Rodoviária Convencional
ADAMANTINA,IRAPURU,8355A,VIAÇÃO PIRACICABANA S/A,PANORAMA - BAURU,Rodoviária Convencional
ADAMANTINA,IRAPURU,8355E,VIAÇÃO PIRACICABANA S/A,PANORAMA - BAURU,Rodoviário Executivo
ADAMANTINA,JUNQUEIRÓPOLIS,4801A,EXPRESSO ADAMANTINA LTDA,MARILIA - DRACENA,Rodoviária Convencional
ADAMANTINA,JUNQUEIRÓPOLIS,8355A,VIAÇÃO PIRACICABANA S/A,PANORAMA - BAURU,Rodoviária Convencional
ADAMANTINA,JUNQUEIRÓPOLIS,8355E,VIAÇÃO PIRACICABANA S/A,PANORAMA - BAURU,Rodoviário Executivo
ADAMANTINA,LIMEIRA,7847A,EXPRESSO ADAMANTINA LTDA,TUPI PAULISTA - CAMPINAS,Rodoviária Convencional
ADAMANTINA,LUCÉLIA,4801A,EXPRESSO ADAMANTINA LTDA,MARILIA - DRACENA,Rodoviária Convencional
ADAMANTINA,LUCÉLIA,9107A,EXPRESSO ADAMANTINA LTDA,PARAPUA - ADAMANTINA,Semiurbana
ADAMANTINA,LUCÉLIA,7089A,JANDAIA TRANSPORTES E TURISMO LTDA,ADAMANTINA - PRESIDENTE PRUDENTE,Semiurbana
ADAMANTINA,LUCÉLIA,6893A,VIAÇÃO LOPES LTDA,LUCELIA - ADAMANTINA,Semiurbana
ADAMANTINA,LUCÉLIA,9496A,VIAÇÃO LOPES LTDA,LUCELIA - ADAMANTINA,Semiurbana
ADAMANTINA,LUCÉLIA,8355A,VIAÇÃO PIRACICABANA S/A,PANORAMA - BAURU,Rodoviária Convencional
ADAMANTINA,LUCÉLIA,8355E,VIAÇÃO PIRACICABANA S/A,PANORAMA - BAURU,Rodoviário Executivo
ADAMANTINA,MARIÁPOLIS,7084A,JANDAIA TRANSPORTES E TURISMO LTDA,CAIABU - PRESIDENTE PRUDENTE,Semiurbana
ADAMANTINA,MARIÁPOLIS,8447A,JANDAIA TRANSPORTES E TURISMO LTDA,ADAMANTINA - MARIAPOLIS,Semiurbana
ADAMANTINA,MARÍLIA,4801A,EXPRESSO ADAMANTINA LTDA,MARILIA - DRACENA,Rodoviária Convencional
ADAMANTINA,MARÍLIA,5081A,VIAÇÃO PIRACICABANA S/A,ADAMANTINA - SÃO PAULO(BARRA FUNDA),Rodoviária Convencional
ADAMANTINA,MARÍLIA,5081E,VIAÇÃO PIRACICABANA S/A,ADAMANTINA - SÃO PAULO(BARRA FUNDA),Rodoviário Executivo
ADAMANTINA,MARÍLIA,5081L,VIAÇÃO PIRACICABANA S/A,TUPI PAULISTA - SÃO PAULO(BARRA FUNDA),Rodoviário Leito
ADAMANTINA,MARÍLIA,8355A,VIAÇÃO PIRACICABANA S/A,PANORAMA - BAURU,Rodoviária Convencional
ADAMANTINA,MARÍLIA,8355E,VIAÇÃO PIRACICABANA S/A,PANORAMA - BAURU,Rodoviário Executivo
ADAMANTINA,MARTINÓPOLIS,7084A,JANDAIA TRANSPORTES E TURISMO LTDA,CAIABU - PRESIDENTE PRUDENTE,Semiurbana
ADAMANTINA,MARTINÓPOLIS,7089A,JANDAIA TRANSPORTES E TURISMO LTDA,ADAMANTINA - PRESIDENTE PRUDENTE,Semiurbana
ADAMANTINA,ORIENTE,4801A,EXPRESSO ADAMANTINA LTDA,MARILIA - DRACENA,Rodoviária Convencional
ADAMANTINA,OSASCO,5081A,VIAÇÃO PIRACICABANA S/A,ADAMANTINA - SÃO PAULO(BARRA FUNDA),Rodoviária Convencional
ADAMANTINA,OSASCO,5081E,VIAÇÃO PIRACICABANA S/A,ADAMANTINA - SÃO PAULO(BARRA FUNDA),Rodoviário Executivo
ADAMANTINA,OSASCO,5081L,VIAÇÃO PIRACICABANA S/A,TUPI PAULISTA - SÃO PAULO(BARRA FUNDA),Rodoviário Leito
ADAMANTINA,OSASCO,8357A,VIAÇÃO PIRACICABANA S/A,ADAMANTINA - SÃO PAULO(BARRA FUNDA),Rodoviária Convencional
ADAMANTINA,OSASCO,8357E,VIAÇÃO PIRACICABANA S/A,ADAMANTINA - SÃO PAULO(BARRA FUNDA),Rodoviário Executivo
ADAMANTINA,OSVALDO CRUZ,4801A,EXPRESSO ADAMANTINA LTDA,MARILIA - DRACENA,Rodoviária Convencional
ADAMANTINA,OSVALDO CRUZ,9107A,EXPRESSO ADAMANTINA LTDA,PARAPUA - ADAMANTINA,Semiurbana
ADAMANTINA,OSVALDO CRUZ,7089A,JANDAIA TRANSPORTES E TURISMO LTDA,ADAMANTINA - PRESIDENTE PRUDENTE,Semiurbana
ADAMANTINA,OSVALDO CRUZ,5081A,VIAÇÃO PIRACICABANA S/A,ADAMANTINA - SÃO PAULO(BARRA FUNDA),Rodoviária Convencional
ADAMANTINA,OSVALDO CRUZ,5081E,VIAÇÃO PIRACICABANA S/A,ADAMANTINA - SÃO PAULO(BARRA FUNDA),Rodoviário Executivo
ADAMANTINA,OSVALDO CRUZ,5081L,VIAÇÃO PIRACICABANA S/A,TUPI PAULISTA - SÃO PAULO(BARRA FUNDA),Rodoviário Leito
ADAMANTINA,OSVALDO CRUZ,8355A,VIAÇÃO PIRACICABANA S/A,PANORAMA - BAURU,Rodoviária Convencional
ADAMANTINA,OSVALDO CRUZ,8355E,VIAÇÃO PIRACICABANA S/A,PANORAMA - BAURU,Rodoviário Executivo
ADAMANTINA,PACAEMBU,4801A,EXPRESSO ADAMANTINA LTDA,MARILIA - DRACENA,Rodoviária Convencional
ADAMANTINA,PACAEMBU,5888A,EXPRESSO ADAMANTINA LTDA,PACAEMBU - ADAMANTINA,Semiurbana
ADAMANTINA,PACAEMBU,8355A,VIAÇÃO PIRACICABANA S/A,PANORAMA - BAURU,Rodoviária Convencional
ADAMANTINA,PACAEMBU,8355E,VIAÇÃO PIRACICABANA S/A,PANORAMA - BAURU,Rodoviário Executivo
ADAMANTINA,PANORAMA,8355A,VIAÇÃO PIRACICABANA S/A,PANORAMA - BAURU,Rodoviária Convencional
ADAMANTINA,PANORAMA,8355E,VIAÇÃO PIRACICABANA S/A,PANORAMA - BAURU,Rodoviário Executivo
ADAMANTINA,PARAPUÃ,4801A,EXPRESSO ADAMANTINA LTDA,MARILIA - DRACENA,Rodoviária Convencional
ADAMANTINA,PARAPUÃ,9107A,EXPRESSO ADAMANTINA LTDA,PARAPUA - ADAMANTINA,Semiurbana
ADAMANTINA,PARAPUÃ,8355A,VIAÇÃO PIRACICABANA S/A,PANORAMA - BAURU,Rodoviária Convencional
ADAMANTINA,PARAPUÃ,8355E,VIAÇÃO PIRACICABANA S/A,PANORAMA - BAURU,Rodoviário Executivo
ADAMANTINA,PAULICÉIA,8355A,VIAÇÃO PIRACICABANA S/A,PANORAMA - BAURU,Rodoviária Convencional
ADAMANTINA,PAULICÉIA,8355E,VIAÇÃO PIRACICABANA S/A,PANORAMA - BAURU,Rodoviário Executivo
ADAMANTINA,PIRACICABA,7847A,EXPRESSO ADAMANTINA LTDA,TUPI PAULISTA - CAMPINAS,Rodoviária Convencional
ADAMANTINA,POMPÉIA,4801A,EXPRESSO ADAMANTINA LTDA,MARILIA - DRACENA,Rodoviária Convencional
ADAMANTINA,POMPÉIA,5081A,VIAÇÃO PIRACICABANA S/A,ADAMANTINA - SÃO PAULO(BARRA FUNDA),Rodoviária Convencional
ADAMANTINA,POMPÉIA,5081E,VIAÇÃO PIRACICABANA S/A,ADAMANTINA - SÃO PAULO(BARRA FUNDA),Rodoviário Executivo
ADAMANTINA,POMPÉIA,5081L,VIAÇÃO PIRACICABANA S/A,TUPI PAULISTA - SÃO PAULO(BARRA FUNDA),Rodoviário Leito
ADAMANTINA,POMPÉIA,8355A,VIAÇÃO PIRACICABANA S/A,PANORAMA - BAURU,Rodoviária Convencional
ADAMANTINA,POMPÉIA,8355E,VIAÇÃO PIRACICABANA S/A,PANORAMA - BAURU,Rodoviário Executivo
ADAMANTINA,PRESIDENTE PRUDENTE,7084A,JANDAIA TRANSPORTES E TURISMO LTDA,CAIABU - PRESIDENTE PRUDENTE,Semiurbana
ADAMANTINA,PRESIDENTE PRUDENTE,7089A,JANDAIA TRANSPORTES E TURISMO LTDA,ADAMANTINA - PRESIDENTE PRUDENTE,Semiurbana
ADAMANTINA,QUINTANA,4801A,EXPRESSO ADAMANTINA LTDA,MARILIA - DRACENA,Rodoviária Convencional
ADAMANTINA,RIO CLARO,7847A,EXPRESSO ADAMANTINA LTDA,TUPI PAULISTA - CAMPINAS,Rodoviária Convencional
ADAMANTINA,SAGRES,7089A,JANDAIA TRANSPORTES E TURISMO LTDA,ADAMANTINA - PRESIDENTE PRUDENTE,Semiurbana
ADAMANTINA,SANTO ANDRÉ,8979A,VIAÇÃO PIRACICABANA S/A,PANORAMA - SAO BERNARDO DO CAMPO,Rodoviária Convencional
ADAMANTINA,SANTO ANDRÉ,8979L,VIAÇÃO PIRACICABANA S/A,PANORAMA - SAO BERNARDO DO CAMPO,Rodoviário Leito
ADAMANTINA,SÃO BERNARDO DO CAMPO,8979A,VIAÇÃO PIRACICABANA S/A,PANORAMA - SAO BERNARDO DO CAMPO,Rodoviária Convencional
ADAMANTINA,SÃO BERNARDO DO CAMPO,8979L,VIAÇÃO PIRACICABANA S/A,PANORAMA - SAO BERNARDO DO CAMPO,Rodoviário Leito
ADAMANTINA,SÃO PAULO,8358A,EMPRESAS REUNIDAS PAULISTA DE TRANSPORTES LTDA,DRACENA - SÃO PAULO(BARRA FUNDA),Rodoviária Convencional
ADAMANTINA,SÃO PAULO,5081A,VIAÇÃO PIRACICABANA S/A,ADAMANTINA - SÃO PAULO(BARRA FUNDA),Rodoviária Convencional
ADAMANTINA,SÃO PAULO,5081E,VIAÇÃO PIRACICABANA S/A,ADAMANTINA - SÃO PAULO(BARRA FUNDA),Rodoviário Executivo
ADAMANTINA,SÃO PAULO,5081L,VIAÇÃO PIRACICABANA S/A,TUPI PAULISTA - SÃO PAULO(BARRA FUNDA),Rodoviário Leito
ADAMANTINA,SÃO PAULO,8357A,VIAÇÃO PIRACICABANA S/A,ADAMANTINA - SÃO PAULO(BARRA FUNDA),Rodoviária Convencional
ADAMANTINA,SÃO PAULO,8357E,VIAÇÃO PIRACICABANA S/A,ADAMANTINA - SÃO PAULO(BARRA FUNDA),Rodoviário Executivo
ADAMANTINA,SÃO PAULO,8979A,VIAÇÃO PIRACICABANA S/A,PANORAMA - SAO BERNARDO DO CAMPO,Rodoviária Convencional
ADAMANTINA,SÃO PAULO,8979L,VIAÇÃO PIRACICABANA S/A,PANORAMA - SAO BERNARDO DO CAMPO,Rodoviário Leito
ADAMANTINA,TUPÃ,4801A,EXPRESSO ADAMANTINA LTDA,MARILIA - DRACENA,Rodoviária Convencional
ADAMANTINA,TUPÃ,5081A,VIAÇÃO PIRACICABANA S/A,ADAMANTINA - SÃO PAULO(BARRA FUNDA),Rodoviária Convencional
ADAMANTINA,TUPÃ,5081E,VIAÇÃO PIRACICABANA S/A,ADAMANTINA - SÃO PAULO(BARRA FUNDA),Rodoviário Executivo
ADAMANTINA,TUPÃ,5081L,VIAÇÃO PIRACICABANA S/A,TUPI PAULISTA - SÃO PAULO(BARRA FUNDA),Rodoviário Leito
ADAMANTINA,TUPÃ,8355A,VIAÇÃO PIRACICABANA S/A,PANORAMA - BAURU,Rodoviária Convencional
ADAMANTINA,TUPÃ,8355E,VIAÇÃO PIRACICABANA S/A,PANORAMA - BAURU,Rodoviário Executivo
ADAMANTINA,TUPI PAULISTA,4801A,EXPRESSO ADAMANTINA LTDA,MARILIA - DRACENA,Rodoviária Convencional
ADAMANTINA,TUPI PAULISTA,5081A,VIAÇÃO PIRACICABANA S/A,ADAMANTINA - SÃO PAULO(BARRA FUNDA),Rodoviária Convencional
ADAMANTINA,TUPI PAULISTA,5081E,VIAÇÃO PIRACICABANA S/A,ADAMANTINA - SÃO PAULO(BARRA FUNDA),Rodoviário Executivo
ADAMANTINA,TUPI PAULISTA,5081L,VIAÇÃO PIRACICABANA S/A,TUPI PAULISTA - SÃO PAULO(BARRA FUNDA),Rodoviário Leito
ADAMANTINA,TUPI PAULISTA,8355A,VIAÇÃO PIRACICABANA S/A,PANORAMA - BAURU,Rodoviária Convencional
ADAMANTINA,TUPI PAULISTA,8355E,VIAÇÃO PIRACICABANA S/A,PANORAMA - BAURU,Rodoviário Executivo
ADAMANTINA,VALPARAÍSO,7047A,VAT  VIACAO ADAMANTINA DE TRANSPORTES LTDA ,ADAMANTINA - ARACATUBA,Rodoviária Convencional
ADOLFO,BADY BASSITT,9037A,PEVÊ-TUR TRANSPORTES E TURISMO LTDA,ADOLFO - SAO JOSE DO RIO PRETO,Semiurbana
ADOLFO,BADY BASSITT,9038A,PEVÊ-TUR TRANSPORTES E TURISMO LTDA,ADOLFO - SAO JOSE DO RIO PRETO,Semiurbana
ADOLFO,MENDONÇA,9037A,PEVÊ-TUR TRANSPORTES E TURISMO LTDA,ADOLFO - SAO JOSE DO RIO PRETO,Semiurbana
ADOLFO,MENDONÇA,9038A,PEVÊ-TUR TRANSPORTES E TURISMO LTDA,ADOLFO - SAO JOSE DO RIO PRETO,Semiurbana
ADOLFO,NOVA ALIANÇA,9037A,PEVÊ-TUR TRANSPORTES E TURISMO LTDA,ADOLFO - SAO JOSE DO RIO PRETO,Semiurbana
ADOLFO,NOVA ALIANÇA,9038A,PEVÊ-TUR TRANSPORTES E TURISMO LTDA,ADOLFO - SAO JOSE DO RIO PRETO,Semiurbana
ADOLFO,SÃO JOSÉ DO RIO PRETO,9037A,PEVÊ-TUR TRANSPORTES E TURISMO LTDA,ADOLFO - SAO JOSE DO RIO PRETO,Semiurbana
ADOLFO,SÃO JOSÉ DO RIO PRETO,9038A,PEVÊ-TUR TRANSPORTES E TURISMO LTDA,ADOLFO - SAO JOSE DO RIO PRETO,Semiurbana
AGUAÍ,CACONDE,2741A,VIAÇÃO SANTA CRUZ LTDA,AGUAI - SAO JOAO DA BOA VISTA,Rodoviária Convencional
AGUAÍ,CAMPINAS,2741A,VIAÇÃO SANTA CRUZ LTDA,AGUAI - SAO JOAO DA BOA VISTA,Rodoviária Convencional
AGUAÍ,CAMPINAS,4317A,VIAÇÃO SANTA CRUZ LTDA,SÃO PAULO (T.TIÊTE) - SAO JOSE DO RIO PARDO,Rodoviária Convencional
AGUAÍ,CAMPINAS,4319A,VIAÇÃO SANTA CRUZ LTDA,SÃO PAULO (T.TIÊTE) - MOCOCA,Rodoviária Convencional
AGUAÍ,CAMPINAS,4359A,VIAÇÃO SANTA CRUZ LTDA,SÃO PAULO (T.TIÊTE) - TAPIRATIBA,Rodoviária Convencional
AGUAÍ,CAMPINAS,8359A,VIAÇÃO SANTA CRUZ LTDA,SAO JOAO DA BOA VISTA - CAMPINAS,Rodoviária Convencional
AGUAÍ,CAMPINAS,8359B,VIAÇÃO SANTA CRUZ LTDA,SAO JOAO DA BOA VISTA - UNICAMP,Rodoviária Convencional
AGUAÍ,CAMPINAS,8507A,VIAÇÃO SANTA CRUZ LTDA,SÃO PAULO (T.TIÊTE) - SAO JOSE DO RIO PARDO,Rodoviária Convencional
AGUAÍ,CAMPINAS,8736A,VIAÇÃO SANTA CRUZ LTDA,SÃO PAULO (T.TIÊTE) - VARGEM GRANDE DO SUL,Rodoviária Convencional
AGUAÍ,CASA BRANCA,4319A,VIAÇÃO SANTA CRUZ LTDA,SÃO PAULO (T.TIÊTE) - MOCOCA,Rodoviária Convencional
AGUAÍ,CASA BRANCA,4359A,VIAÇÃO SANTA CRUZ LTDA,SÃO PAULO (T.TIÊTE) - TAPIRATIBA,Rodoviária Convencional
AGUAÍ,CASA BRANCA,8507A,VIAÇÃO SANTA CRUZ LTDA,SÃO PAULO (T.TIÊTE) - SAO JOSE DO RIO PARDO,Rodoviária Convencional
AGUAÍ,DIVINOLÂNDIA,2741A,VIAÇÃO SANTA CRUZ LTDA,AGUAI - SAO JOAO DA BOA VISTA,Rodoviária Convencional
AGUAÍ,ESTIVA GERBI,2741A,VIAÇÃO SANTA CRUZ LTDA,AGUAI - SAO JOAO DA BOA VISTA,Rodoviária Convencional
AGUAÍ,ITOBI,4359A,VIAÇÃO SANTA CRUZ LTDA,SÃO PAULO (T.TIÊTE) - TAPIRATIBA,Rodoviária Convencional
AGUAÍ,ITOBI,8507A,VIAÇÃO SANTA CRUZ LTDA,SÃO PAULO (T.TIÊTE) - SAO JOSE DO RIO PARDO,Rodoviária Convencional
AGUAÍ,MOCOCA,4319A,VIAÇÃO SANTA CRUZ LTDA,SÃO PAULO (T.TIÊTE) - MOCOCA,Rodoviária Convencional
AGUAÍ,MOGI GUAÇU,2741A,VIAÇÃO SANTA CRUZ LTDA,AGUAI - SAO JOAO DA BOA VISTA,Rodoviária Convencional
AGUAÍ,MOGI GUAÇU,8359A,VIAÇÃO SANTA CRUZ LTDA,SAO JOAO DA BOA VISTA - CAMPINAS,Rodoviária Convencional
AGUAÍ,MOGI GUAÇU,8359B,VIAÇÃO SANTA CRUZ LTDA,SAO JOAO DA BOA VISTA - UNICAMP,Rodoviária Convencional
AGUAÍ,MOJI MIRIM,2741A,VIAÇÃO SANTA CRUZ LTDA,AGUAI - SAO JOAO DA BOA VISTA,Rodoviária Convencional
AGUAÍ,MOJI MIRIM,4319A,VIAÇÃO SANTA CRUZ LTDA,SÃO PAULO (T.TIÊTE) - MOCOCA,Rodoviária Convencional
AGUAÍ,MOJI MIRIM,4359A,VIAÇÃO SANTA CRUZ LTDA,SÃO PAULO (T.TIÊTE) - TAPIRATIBA,Rodoviária Convencional
AGUAÍ,MOJI MIRIM,8359A,VIAÇÃO SANTA CRUZ LTDA,SAO JOAO DA BOA VISTA - CAMPINAS,Rodoviária Convencional
AGUAÍ,MOJI MIRIM,8359B,VIAÇÃO SANTA CRUZ LTDA,SAO JOAO DA BOA VISTA - UNICAMP,Rodoviária Convencional
AGUAÍ,SÃO JOÃO DA BOA VISTA,2741A,VIAÇÃO SANTA CRUZ LTDA,AGUAI - SAO JOAO DA BOA VISTA,Rodoviária Convencional
AGUAÍ,SÃO JOÃO DA BOA VISTA,8359A,VIAÇÃO SANTA CRUZ LTDA,SAO JOAO DA BOA VISTA - CAMPINAS,Rodoviária Convencional
AGUAÍ,SÃO JOÃO DA BOA VISTA,8359B,VIAÇÃO SANTA CRUZ LTDA,SAO JOAO DA BOA VISTA - UNICAMP,Rodoviária Convencional
AGUAÍ,SÃO JOSÉ DO RIO PARDO,4317A,VIAÇÃO SANTA CRUZ LTDA,SÃO PAULO (T.TIÊTE) - SAO JOSE DO RIO PARDO,Rodoviária Convencional
AGUAÍ,SÃO JOSÉ DO RIO PARDO,4359A,VIAÇÃO SANTA CRUZ LTDA,SÃO PAULO (T.TIÊTE) - TAPIRATIBA,Rodoviária Convencional
AGUAÍ,SÃO JOSÉ DO RIO PARDO,8507A,VIAÇÃO SANTA CRUZ LTDA,SÃO PAULO (T.TIÊTE) - SAO JOSE DO RIO PARDO,Rodoviária Convencional
AGUAÍ,SÃO PAULO,2741A,VIAÇÃO SANTA CRUZ LTDA,AGUAI - SAO JOAO DA BOA VISTA,Rodoviária Convencional
AGUAÍ,SÃO PAULO,4317A,VIAÇÃO SANTA CRUZ LTDA,SÃO PAULO (T.TIÊTE) - SAO JOSE DO RIO PARDO,Rodoviária Convencional
AGUAÍ,SÃO PAULO,4319A,VIAÇÃO SANTA CRUZ LTDA,SÃO PAULO (T.TIÊTE) - MOCOCA,Rodoviária Convencional
AGUAÍ,SÃO PAULO,4359A,VIAÇÃO SANTA CRUZ LTDA,SÃO PAULO (T.TIÊTE) - TAPIRATIBA,Rodoviária Convencional
AGUAÍ,SÃO PAULO,8507A,VIAÇÃO SANTA CRUZ LTDA,SÃO PAULO (T.TIÊTE) - SAO JOSE DO RIO PARDO,Rodoviária Convencional
AGUAÍ,SÃO PAULO,8736A,VIAÇÃO SANTA CRUZ LTDA,SÃO PAULO (T.TIÊTE) - VARGEM GRANDE DO SUL,Rodoviária Convencional
AGUAÍ,SÃO SEBASTIÃO DA GRAMA,2741A,VIAÇÃO SANTA CRUZ LTDA,AGUAI - SAO JOAO DA BOA VISTA,Rodoviária Convencional
AGUAÍ,TAPIRATIBA,4359A,VIAÇÃO SANTA CRUZ LTDA,SÃO PAULO (T.TIÊTE) - TAPIRATIBA,Rodoviária Convencional
AGUAÍ,VARGEM GRANDE DO SUL,2741A,VIAÇÃO SANTA CRUZ LTDA,AGUAI - SAO JOAO DA BOA VISTA,Rodoviária Convencional
AGUAÍ,VARGEM GRANDE DO SUL,4317A,VIAÇÃO SANTA CRUZ LTDA,SÃO PAULO (T.TIÊTE) - SAO JOSE DO RIO PARDO,Rodoviária Convencional
AGUAÍ,VARGEM GRANDE DO SUL,8736A,VIAÇÃO SANTA CRUZ LTDA,SÃO PAULO (T.TIÊTE) - VARGEM GRANDE DO SUL,Rodoviária Convencional
ÁGUAS DA PRATA,CAMPINAS,0770A,VIAÇÃO COMETA S/A,SÃO PAULO (T.TIÊTE) - AGUAS DA PRATA,Rodoviária Convencional
ÁGUAS DA PRATA,CASA BRANCA,7848A,RAPIDO D OESTE LTDA,RIBEIRAO PRETO - AGUAS DA PRATA,Rodoviária Convencional
ÁGUAS DA PRATA,JUNDIAÍ,0770A,VIAÇÃO COMETA S/A,SÃO PAULO (T.TIÊTE) - AGUAS DA PRATA,Rodoviária Convencional
ÁGUAS DA PRATA,MOGI GUAÇU,0770A,VIAÇÃO COMETA S/A,SÃO PAULO (T.TIÊTE) - AGUAS DA PRATA,Rodoviária Convencional
ÁGUAS DA PRATA,MOJI MIRIM,0770A,VIAÇÃO COMETA S/A,SÃO PAULO (T.TIÊTE) - AGUAS DA PRATA,Rodoviária Convencional
ÁGUAS DA PRATA,PORTO FERREIRA,7848A,RAPIDO D OESTE LTDA,RIBEIRAO PRETO - AGUAS DA PRATA,Rodoviária Convencional
ÁGUAS DA PRATA,RIBEIRÃO PRETO,7848A,RAPIDO D OESTE LTDA,RIBEIRAO PRETO - AGUAS DA PRATA,Rodoviária Convencional
ÁGUAS DA PRATA,SANTA CRUZ DAS PALMEIRAS,7848A,RAPIDO D OESTE LTDA,RIBEIRAO PRETO - AGUAS DA PRATA,Rodoviária Convencional
ÁGUAS DA PRATA,SANTO ANDRÉ,0770A,VIAÇÃO COMETA S/A,SÃO PAULO (T.TIÊTE) - AGUAS DA PRATA,Rodoviária Convencional
ÁGUAS DA PRATA,SÃO BERNARDO DO CAMPO,0770A,VIAÇÃO COMETA S/A,SÃO PAULO (T.TIÊTE) - AGUAS DA PRATA,Rodoviária Convencional
ÁGUAS DA PRATA,SÃO CAETANO DO SUL,0770A,VIAÇÃO COMETA S/A,SÃO PAULO (T.TIÊTE) - AGUAS DA PRATA,Rodoviária Convencional
