CIDADE_INI,CIDADE_FIM,N_AUTOS,EMPRESA,DESCRICAO,CARACTERISTICA
MOGI DAS CRUZES,PRAIA GRANDE,9541A,VIAÇÃO COMETA S/A,SAO BERNARDO DO CAMPO - APARECIDA,Rodoviária Litorânea
MOGI DAS CRUZES,PRAIA GRANDE,9608A,VIAÇÃO COMETA S/A,SAO JOSE DOS CAMPOS - P.GRANDE(V.MIRIM),Rodoviária Litorânea
MOGI DAS CRUZES,RIBEIRÃO PIRES,8064A,VIAÇÃO COMETA S/A,MOGI DAS CRUZES - P.GRANDE(V.MIRIM),Rodoviária Litorânea
MOGI DAS CRUZES,RIBEIRÃO PIRES,9541A,VIAÇÃO COMETA S/A,SAO BERNARDO DO CAMPO - APARECIDA,Rodoviária Litorânea
MOGI DAS CRUZES,RIBEIRÃO PIRES,9608A,VIAÇÃO COMETA S/A,SAO JOSE DOS CAMPOS - P.GRANDE(V.MIRIM),Rodoviária Litorânea
MOGI DAS CRUZES,SANTO ANDRÉ,9541A,VIAÇÃO COMETA S/A,SAO BERNARDO DO CAMPO - APARECIDA,Rodoviária Litorânea
MOGI DAS CRUZES,SANTOS,6492A,VIAÇÃO COMETA S/A,MOGI DAS CRUZES - RIBEIRAO PIRES,Rodoviária Litorânea
MOGI DAS CRUZES,SANTOS,8064A,VIAÇÃO COMETA S/A,MOGI DAS CRUZES - P.GRANDE(V.MIRIM),Rodoviária Litorânea
MOGI DAS CRUZES,SANTOS,9541A,VIAÇÃO COMETA S/A,SAO BERNARDO DO CAMPO - APARECIDA,Rodoviária Litorânea
MOGI DAS CRUZES,SANTOS,9608A,VIAÇÃO COMETA S/A,SAO JOSE DOS CAMPOS - P.GRANDE(V.MIRIM),Rodoviária Litorânea
MOGI DAS CRUZES,SÃO BERNARDO DO CAMPO,8064A,VIAÇÃO COMETA S/A,MOGI DAS CRUZES - P.GRANDE(V.MIRIM),Rodoviária Litorânea
MOGI DAS CRUZES,SÃO BERNARDO DO CAMPO,9541A,VIAÇÃO COMETA S/A,SAO BERNARDO DO CAMPO - APARECIDA,Rodoviária Litorânea
MOGI DAS CRUZES,SÃO JOSÉ DOS CAMPOS,7398A,EXPRESSO CIDADE NATUREZA TRANSPORTE LTDA,MOGI DAS CRUZES - SAO JOSE DOS CAMPOS,Rodoviária Convencional
MOGI DAS CRUZES,SÃO JOSÉ DOS CAMPOS,9541A,VIAÇÃO COMETA S/A,SAO BERNARDO DO CAMPO - APARECIDA,Rodoviária Litorânea
MOGI DAS CRUZES,SÃO JOSÉ DOS CAMPOS,9608A,VIAÇÃO COMETA S/A,SAO JOSE DOS CAMPOS - P.GRANDE(V.MIRIM),Rodoviária Litorânea
MOGI DAS CRUZES,SÃO SEBASTIÃO,0061A,VIAÇÃO PIRACICABANA S/A,FERRAZ DE VASCONCELOS - SAO SEBASTIAO(Rodoviária),Rodoviária Litorânea
MOGI DAS CRUZES,SÃO VICENTE,6492A,VIAÇÃO COMETA S/A,MOGI DAS CRUZES - RIBEIRAO PIRES,Rodoviária Litorânea
MOGI DAS CRUZES,SÃO VICENTE,8064A,VIAÇÃO COMETA S/A,MOGI DAS CRUZES - P.GRANDE(V.MIRIM),Rodoviária Litorânea
MOGI DAS CRUZES,SÃO VICENTE,9541A,VIAÇÃO COMETA S/A,SAO BERNARDO DO CAMPO - APARECIDA,Rodoviária Litorânea
MOGI DAS CRUZES,SÃO VICENTE,9608A,VIAÇÃO COMETA S/A,SAO JOSE DOS CAMPOS - P.GRANDE(V.MIRIM),Rodoviária Litorânea
