n° Autos;Iti;Permissionária;TC;Denominação da Linha;Característica;Situação
6893;A;TRANSPEN-TRANSPORTE COLETIVO E ENCOMENDAS LTDA;2;BARAO DE ANTONINA - ITARARE;Rodoviária Convencional;Ativa
6899;A;EMPRESA DE ÔNIBUS LUCHINI LTDA;3;BORÁ - SAO JOSE LARANJEIRAS;Semiurbana;Ativa
6919;A;EMPRESA DE ÔNIBUS LUCHINI LTDA;3;BORÁ - PARAGUACU PAULISTA;Semiurbana;Ativa
6921;A;EMPRESA DE ÔNIBUS LUCHINI LTDA;3;BORÁ - MARACAI;Semiurbana;Ativa
6924;A;VB TRANSPORTES E TURISMO LTDA;1;COSMOPOLIS - LIMEIRA;Semiurbana;Ativa
6937;A;VB TRANSPORTES E TURISMO LTDA;1;CONCHAL - COSMOPOLIS;Rodoviária Convencional;Ativa
6950;A;VB TRANSPORTES E TURISMO LTDA;1;CONCHAL - CAMPINAS;Rodoviária Convencional;Ativa
6962;A;EXPRESSO ADAMANTINA LTDA;3;MARILIA - RIBEIRAO PRETO;Rodoviária Convencional;Ativa
6967;A;EXPRESSO ADAMANTINA LTDA;3;PRESIDENTE PRUDENTE - RIBEIRAO PRETO;Rodoviária Convencional;Ativa
6985;A;TURISMAR TRANSPORTE E TURISMO LTDA;3;MARILIA - GARCA;Semiurbana;Ativa
6985;B;TURISMAR TRANSPORTE E TURISMO LTDA;3;MARILIA - VERA CRUZ;Semiurbana;Ativa
6985;C;TRANSPORTE COLETIVO CÉLICO EIRELI;4;BURITAMA - JOSE BONIFACIO;Semiurbana;Ativa
6985;E;TRANSPORTE COLETIVO CÉLICO EIRELI;4;LOURDES - BURITAMA;Semiurbana;Ativa
6985;L;EXPRESSO AMARELINHO LTDA;2;CAPAO BONITO - ITAPETININGA;Rodoviária Convencional;Ativa
6986;A;EXPRESSO AMARELINHO LTDA;2;APIAI - SOROCABA;Rodoviária Convencional;Ativa
6986;E;EXPRESSO AMARELINHO LTDA;2;APIAI - ITAPETININGA;Rodoviária Convencional;Ativa
6986;L;EXPRESSO AMARELINHO LTDA;2;GUAPIARA - ITAPETININGA;Rodoviária Convencional;Ativa
6987;A;EXPRESSO AMARELINHO LTDA;2;ITAPETININGA - ITAPEVA;Rodoviária Convencional;Ativa
6987;B;EXPRESSO AMARELINHO LTDA;2;SOROCABA - ITARARE;Rodoviária Convencional;Ativa
6987;C;REAL EXPRESSO LTDA;5;SÃO PAULO (T.TIÊTE) - IGARAPAVA;Rodoviária Convencional;Ativa
6987;D;VB TRANSPORTES E TURISMO LTDA;1;ITAPETININGA - CAMPINAS;Rodoviária Convencional;Ativa
6989;A;RAPIDO RIBEIRAO PRETO LTDA;1;RIBEIRAO PRETO - SÃO PAULO (T.TIÊTE);Rodoviária Convencional;Ativa
6991;A;RAPIDO RIBEIRAO PRETO LTDA;1;SERTAOZINHO - SÃO PAULO (T.TIÊTE);Rodoviária Convencional;Ativa
6991;L;RAPIDO LINENSE LTDA;3;LINS - GETULINA;Semiurbana;Ativa
6995;A;JANDAIA TRANSPORTES E TURISMO LTDA;3;PRESIDENTE PRUDENTE - TARABAI;Semiurbana;Ativa
6995;L;JANDAIA TRANSPORTES E TURISMO LTDA;3;PRESIDENTE PRUDENTE - PIRAPOZINHO;Semiurbana;Ativa
6996;A;RAPIDO FENIX VIAÇÃO LTDA;1;AMPARO - CAMPINAS;Semiurbana;Ativa
6997;A;RAPIDO FENIX VIAÇÃO LTDA;1;AMPARO - MORUNGABA;Semiurbana;Ativa
7002;A;RAPIDO LINENSE LTDA;3;LINS - PENAPOLIS;Semiurbana;Ativa
7011;A;RAPIDO LINENSE LTDA;3;PROMISSAO - PENAPOLIS;Semiurbana;Ativa
7011;B;RAPIDO LINENSE LTDA;3;AVANHANDAVA - PENAPOLIS;Semiurbana;Ativa
7025;A;EMPRESA DE ÔNIBUS PASSARO MARRON S/A;5;CAMPOS DO JORDAO - CAMPINAS;Rodoviária Convencional;Ativa
7027;A;VIAÇÃO ATIBAIA SÃO PAULO LTDA;1;PIRACAIA - CAMPINAS;Rodoviária Convencional;Ativa
7047;A;VIAÇÃO ATIBAIA SÃO PAULO LTDA;1;ATIBAIA - CAMPINAS;Rodoviária Convencional;Ativa
7051;A;RAPIDO D OESTE LTDA;1;RIBEIRAO PRETO - SANTA ROSA DO VITERBO;Semiurbana;Ativa
7053;A;RAPIDO D OESTE LTDA;1;RIBEIRAO PRETO - SANTA ROSA DO VITERBO;Semiurbana;Ativa
7066;A;RAPIDO D OESTE LTDA;1;RIBEIRAO PRETO - RINCAO;Semiurbana;Ativa
7083;A;RAPIDO D OESTE LTDA;1;RIBEIRAO PRETO - SAO JOSE DO RIO PRETO;Rodoviária Convencional;Ativa
7084;A;RAPIDO D OESTE LTDA;1;OLIMPIA - SAO JOSE DO RIO PRETO;Rodoviária Convencional;Ativa
7089;A;RAPIDO D OESTE LTDA;1;RIBEIRAO PRETO - TAQUARITINGA;Semiurbana;Ativa
7090;A;RAPIDO D OESTE LTDA;1;RIBEIRAO PRETO - TAQUARITINGA;Semiurbana;Ativa
7091;A;RAPIDO D OESTE LTDA;1;RIBEIRAO PRETO - BEBEDOURO;Semiurbana;Ativa
7095;A;RAPIDO D OESTE LTDA;1;SAO SIMAO - LUIZ ANTONIO;Semiurbana;Ativa
7095;B;TRANSPORTADORA TURÍSTICA PETITTO LTDA;1;GUARIBA - RIBEIRAO PRETO;Semiurbana;Ativa
7095;E;TRANSPORTADORA TURÍSTICA PETITTO LTDA;1;GUARIBA - RIBEIRAO PRETO;Semiurbana;Ativa
7096;A;RAPIDO D OESTE LTDA;1;RIBEIRAO PRETO - MOCOCA;Rodoviária Convencional;Ativa
7106;A;RAPIDO D OESTE LTDA;1;RIBEIRAO PRETO - CACONDE;Rodoviária Convencional;Ativa
7118;A;RAPIDO D OESTE LTDA;1;RIBEIRAO PRETO - LUIZ ANTONIO;Semiurbana;Ativa
7119;A;AUTO VIAÇÃO OURINHOS ASSIS LTDA;3;PALMITAL - PLATINA;Semiurbana;Ativa
7120;A;EMPRESAS REUNIDAS PAULISTA DE TRANSPORTES LTDA;3;BAURU - SAO JOSE DO RIO PRETO;Rodoviária Convencional;Ativa
7121;A;JANDAIA TRANSPORTES E TURISMO LTDA;3;PRESIDENTE PRUDENTE - SANDOVALINA;Semiurbana;Ativa
7140;A;VIAÇÃO COMETA S/A;5;SAO BERNARDO DO CAMPO - RIBEIRAO PRETO;Rodoviária Convencional;Ativa
7141;A;VIAÇÃO COMETA S/A;5;SÃO PAULO (T.TIÊTE) - RIBEIRAO PRETO;Rodoviária Convencional;Ativa
7150;A;VIAÇÃO COMETA S/A;5;SAO BERNARDO DO CAMPO - RIBEIRAO PRETO;Rodoviário Executivo;Ativa
7158;A;VIAÇÃO COMETA S/A;5;SÃO PAULO (T.TIÊTE) - RIBEIRAO PRETO;Rodoviário Executivo;Ativa
7164;A;VIAÇÃO COMETA S/A;5;SÃO PAULO (T.TIÊTE) - RIBEIRAO PRETO;Rodoviário Leito;Ativa
7185;A;VIAÇÃO COMETA S/A;5;SAO BERNARDO DO CAMPO - RIBEIRAO PRETO;Rodoviário Leito;Ativa
7187;A;VB TRANSPORTES E TURISMO LTDA;1;PIRACICABA - LIMEIRA;Rodoviária Convencional;Ativa
7187;B;VALLESUL TRANSPORTES E TURISMO LTDA;5;SÃO PAULO(BARRA FUNDA) - CANANEIA;Rodoviária Litorânea;Ativa
7187;C;VALLESUL TRANSPORTES E TURISMO LTDA;5;REGISTRO - CANANEIA;Rodoviária Litorânea;Ativa
7187;D;VALLESUL TRANSPORTES E TURISMO LTDA;5;SÃO PAULO(BARRA FUNDA) - ILHA COMPRIDA;Rodoviária Litorânea;Ativa
7187;E;VIAÇÃO PIRACICABANA S/A;3;BAURU - SÃO PAULO(BARRA FUNDA);Rodoviária Convencional;Ativa
7187;F;VIAÇÃO ATIBAIA SÃO PAULO LTDA;1;NAZARE PAULISTA - SÃO PAULO (T.TIÊTE);Rodoviária Convencional;Ativa
7188;A;AUTO ÔNIBUS DEL OESTE LTDA - EPP;3;PIRAJU - AGUAS DE SANTA BARBARA;Semiurbana;Ativa
7225;A;CRISTALENSE TRANSPORTES E TURISMO LTDA;1;FRANCA - ITUVERAVA;Semiurbana;Ativa
7227;A;CRISTALENSE TRANSPORTES E TURISMO LTDA;1;FRANCA - RIBEIRAO CORRENTE;Semiurbana;Ativa
7228;A;EMPRESA PRINCESA DO NORTE S/A;3;PIRAJU - BAURU;Rodoviária Convencional;Ativa
7230;A;VIAÇÃO COMETA S/A;5;MOGI DAS CRUZES - RIBEIRAO PIRES;Rodoviária Litorânea;Ativa
7246;A;VIAÇÃO COMETA S/A;5;MOGI DAS CRUZES - P.GRANDE(V.MIRIM);Rodoviária Litorânea;Ativa
7265;A;EMPRESA DE TRANSPORTES ANDORINHA S/A;3;PRESIDENTE PRUDENTE - TEODORO SAMPAIO;Semiurbana;Ativa
7267;A;GUERINO SEISCENTO TRANSPORTES S/A;3;TUPA - GABRIEL MONTEIRO;Semiurbana;Ativa
7277;A;GUERINO SEISCENTO TRANSPORTES S/A;3;PENAPOLIS - SAO JOSE DO RIO PRETO;Rodoviária Convencional;Ativa
7296;A;GUERINO SEISCENTO TRANSPORTES S/A;3;TUPA - SAO JOSE DO RIO PRETO;Rodoviária Convencional;Ativa
7301;A;GUERINO SEISCENTO TRANSPORTES S/A;3;CLEMENTINA - ARACATUBA;Semiurbana;Ativa
7322;A;GUERINO SEISCENTO TRANSPORTES S/A;3;TUPA - CLEMENTINA;Semiurbana;Ativa
7323;A;GUERINO SEISCENTO TRANSPORTES S/A;3;QUATA - TUPA;Semiurbana;Ativa
7326;A;GUERINO SEISCENTO TRANSPORTES S/A;3;QUATA - CLEMENTINA;Semiurbana;Ativa
7327;A;GUERINO SEISCENTO TRANSPORTES S/A;3;TUPA - ARCO IRIS;Semiurbana;Ativa
7335;A;GUERINO SEISCENTO TRANSPORTES S/A;3;LINS - TUPA;Rodoviária Convencional;Ativa
7342;A;EMPRESAS REUNIDAS PAULISTA DE TRANSPORTES LTDA;3;ARACATUBA - ILHA SOLTEIRA;Rodoviária Convencional;Ativa
7343;A;EXPRESSO AMARELINHO LTDA;2;BURI - ITAPEVA;Semiurbana;Ativa
7343;B;EMPRESA PRINCESA DO NORTE S/A;3;AVARE - AGUAS DE SANTA BARBARA;Semiurbana;Ativa
7361;A;RAPIDO D OESTE LTDA;1;OLIMPIA - BEBEDOURO;Rodoviária Convencional;Ativa
7365;A;EMPRESAS REUNIDAS PAULISTA DE TRANSPORTES LTDA;3;BAURU - ANDRADINA;Rodoviária Convencional;Ativa
7365;B;EMPRESAS REUNIDAS PAULISTA DE TRANSPORTES LTDA;3;BAURU - ILHA SOLTEIRA;Rodoviária Convencional;Ativa
7365;C;VAT VIACAO ADAMANTINA DE TRANSPORTES LTDA;3;MIRANDOPOLIS - ANDRADINA;Semiurbana;Ativa
7372;A;VAT VIACAO ADAMANTINA DE TRANSPORTES LTDA;3;VALPARAISO - CASTILHO;Semiurbana;Ativa
7381;A;EMPRESA DE TRANSPORTES ANDORINHA S/A;3;IEPE - PRESIDENTE PRUDENTE;Semiurbana;Ativa
7381;B;RAPIDO FENIX VIAÇÃO LTDA;1;CAMPINAS - BRAGANCA PAULISTA;Rodoviária Convencional;Ativa
7390;A;RAPIDO FENIX VIAÇÃO LTDA;1;CAMPINAS - ITATIBA;Rodoviária Convencional;Ativa
7394;A;EMPRESA DE ÔNIBUS LUCHINI LTDA;3;PEDRINHAS PAULISTA - ASSIS;Rodoviária Convencional;Ativa
7395;A;RAPIDO LINENSE LTDA;3;LINS - SABINO;Semiurbana;Ativa
7398;A;RODOVIÁRIO IBITINGUENSE LTDA;3;BAURU - AREALVA;Semiurbana;Ativa
7401;A;RAPIDO LUXO CAMPINAS LTDA;1;AVARE - AGUAS DE SANTA BARBARA;Semiurbana;Ativa
7403;A;AUTO VIAÇÃO M.M. SOUZA TURISMO LTDA;1;CAPIVARI - TIETE;Rodoviária Convencional;Ativa
7406;A;GUERINO SEISCENTO TRANSPORTES S/A;3;ASSIS - PRESIDENTE PRUDENTE;Semiurbana;Ativa
7406;B;GUERINO SEISCENTO TRANSPORTES S/A;3;ASSIS - QUATA;Semiurbana;Ativa
7411;A;EMPRESA PRINCESA DO NORTE S/A;3;MARILIA - OCAUÇU;Semiurbana;Ativa
7448;A;EXPRESSO INTEGRAÇÃO DO VALE LTDA - EPP;3;TARUMA - FLORINEA;Semiurbana;Ativa
7461;A;EMPRESA DE TRANSPORTES ANDORINHA S/A;3;PRESIDENTE PRUDENTE - CAMPINAS;Rodoviária Convencional;Ativa
7461;E;EMPRESA DE TRANSPORTES ANDORINHA S/A;3;PRESIDENTE PRUDENTE - CAMPINAS;Rodoviário Leito;Ativa
7463;A;VIAÇÃO SÃO BENTO LTDA;1;RIBEIRAO PRETO - GUAIRA;Rodoviária Convencional;Ativa
7493;A;VIAÇÃO SÃO BENTO LTDA;1;RIBEIRAO PRETO - SERRA AZUL;Semiurbana;Ativa
7493;B;VIAÇÃO SÃO BENTO LTDA;1;RIBEIRAO PRETO - FRANCA;Rodoviária Convencional;Ativa
7493;C;VIAÇÃO SÃO BENTO LTDA;1;BATATAIS - FRANCA;Rodoviária Convencional;Ativa
7493;D;VIAÇÃO SÃO BENTO LTDA;1;MIGUELOPOLIS - ITUVERAVA;Semiurbana;Ativa
7493;F;VIAÇÃO SÃO BENTO LTDA;1;RIBEIRAO PRETO - BARRINHA;Semiurbana;Ativa
7493;G;TRANSPEN-TRANSPORTE COLETIVO E ENCOMENDAS LTDA;2;APIAI - ITAPEVA;Rodoviária Convencional;Ativa
7493;H;VIAÇÃO SANTA CRUZ LTDA;1;SÃO PAULO(BARRA FUNDA) - BARIRI;Rodoviária Convencional;Ativa
7495;A;VIAÇÃO SÃO BENTO LTDA;1;NUPORANGA - MORRO AGUDO;Rodoviária Convencional;Ativa
7496;A;TRANSPORTE COLETIVO CÉLICO EIRELI;4;TUPA - SAO JOSE DO RIO PRETO;Rodoviária Convencional;Ativa
7503;A;TRANSPORTE COLETIVO CÉLICO EIRELI;4;JOSE BONIFACIO - SAO JOSE DO RIO PRETO;Semiurbana;Ativa
7548;A;TRANSPORTE COLETIVO CÉLICO EIRELI;4;PENAPOLIS - JOSE BONIFACIO;Semiurbana;Ativa
7578;A;VIAÇÃO SÃO BENTO LTDA;1;ORLANDIA - NUPORANGA;Rodoviária Convencional;Ativa
7580;A;RAPIDO FENIX VIAÇÃO LTDA;1;ITAPIRA - SOCORRO;Rodoviária Convencional;Ativa
7598;A;RAPIDO FENIX VIAÇÃO LTDA;1;SERRA NEGRA - MONTE ALEGRE DO SUL;Rodoviária Convencional;Ativa
7640;A;TRANSPORTE COLETIVO CÉLICO EIRELI;4;JOSE BONIFACIO - SANTA LUZIA;Semiurbana;Ativa
7640;B;TRANSPORTE COLETIVO CÉLICO EIRELI;4;JOSE BONIFACIO - UBARANA;Semiurbana;Ativa
7640;E;TRANSPORTE COLETIVO CÉLICO EIRELI;4;NEVES PAULISTA - JOSE BONIFACIO;Semiurbana;Ativa
7646;A;EMPRESA DE ÔNIBUS LUCHINI LTDA;3;ASSIS - MARACAI;Semiurbana;Ativa
7649;A;EXPRESSO ITAMARATI S/A;4;SAO JOSE DO RIO PRETO - BARRETOS;Semiurbana;Ativa
7678;A;EXPRESSO ITAMARATI S/A;4;SAO JOSE DO RIO PRETO - OLIMPIA;Semiurbana;Ativa
7683;A;VIAÇÃO COMETA S/A;5;SAO PAULO(T.JABAQUARA) - SAO VICENTE;Rodoviária Litorânea;Ativa
7684;A;VIAÇÃO COMETA S/A;5;SAO PAULO(T.JABAQUARA) - SANTOS(RODOVIARIA);Rodoviária Litorânea;Ativa
7684;B;VIAÇÃO COMETA S/A;5;SÃO PAULO(AER.CONGONHAS) - SANTOS(PONTA DA PRAIA);Rodoviária Litorânea;Ativa
7684;E;VIAÇÃO COMETA S/A;5;SAO PAULO(T.JABAQUARA) - SANTOS(PONTA DA PRAIA);Rodoviária Litorânea;Ativa
7783;A;VIAÇÃO COMETA S/A;5;SAO PAULO(T.JABAQUARA) - SANTOS(RODOVIARIA);Rodoviária Litorânea;Ativa
7789;A;VIAÇÃO COMETA S/A;5;SAO PAULO(T.JABAQUARA) - SANTOS(T.MARIT.PASSAGEIROS);Rodoviária Litorânea;Ativa
7813;A;VIAÇÃO COMETA S/A;5;SÃO PAULO(AER.CONGONHAS) - SANTOS(T.MARIT.PASSAGEIROS);Rodoviária Litorânea;Ativa
7831;A;TRANSPEN-TRANSPORTE COLETIVO E ENCOMENDAS LTDA;2;GUAPIARA - ITAPEVA;Rodoviária Convencional;Ativa
7832;A;VIAÇÃO COMETA S/A;5;SÃO PAULO (T.TIÊTE) - ARARAQUARA;Rodoviária Convencional;Ativa
7846;A;VIAÇÃO COMETA S/A;5;SÃO PAULO (T.TIÊTE) - ARARAQUARA;Rodoviário Executivo;Ativa
7847;A;JODI ITAPEVA TRANSPORTES LTDA;2;ITAPEVA - APIAI(RODOVIARIA);Semiurbana;Ativa
7848;A;JODI ITAPEVA TRANSPORTES LTDA;2;ITAPEVA - NOVA CAMPINA;Semiurbana;Ativa
7856;A;JODI ITAPEVA TRANSPORTES LTDA;2;ITAPEVA - R.BRANCO(Bº ITABOA);Semiurbana;Ativa
7859;A;JODI ITAPEVA TRANSPORTES LTDA;2;ITAPEVA - R.BRANCO(CAMPINA DE FORA);Semiurbana;Ativa
7863;A;JODI ITAPEVA TRANSPORTES LTDA;2;ITAPEVA - APIAI(BAIRRO LAGEADO);Semiurbana;Ativa
7872;A;VIAÇÃO LOPES LTDA;3;LUCELIA - ADAMANTINA;Semiurbana;Ativa
7872;B;EMPRESAS REUNIDAS PAULISTA DE TRANSPORTES LTDA;3;SÃO PAULO(BARRA FUNDA) - ILHA SOLTEIRA;Rodoviária Convencional;Ativa
7875;A;GUERINO SEISCENTO TRANSPORTES S/A;3;ARACATUBA - RANCHARIA;Rodoviária Convencional;Ativa
7875;L;EXPRESSO ADAMANTINA LTDA;3;TUPA - RANCHARIA;Semiurbana;Ativa
7893;A;GUERINO SEISCENTO TRANSPORTES S/A;3;BIRIGUI - SANTOPOLIS DO AGUAPEI;Rodoviária Convencional;Ativa
7903;A;VAT VIACAO ADAMANTINA DE TRANSPORTES LTDA;3;ANALANDIA - PIRATININGA;Rodoviária Convencional;Ativa
7909;A;VAT VIACAO ADAMANTINA DE TRANSPORTES LTDA;3;BROTAS - JAU;Rodoviária Convencional;Ativa
7931;A;VIAÇÃO SANTA CRUZ LTDA;1;CAMPINAS - SANTO ANTONIO JARDIM;Rodoviária Convencional;Ativa
7938;A;VIAÇÃO SANTA CRUZ LTDA;1;ESPIRITO SANTO PINHAL - SANTO ANTONIO JARDIM;Rodoviária Convencional;Ativa
7944;A;VIAÇÃO SANTA CRUZ LTDA;1;SÃO PAULO (T.TIÊTE) - SANTO ANTONIO JARDIM;Rodoviária Convencional;Ativa
7946;A;VIAÇÃO SANTA CRUZ LTDA;1;SÃO PAULO (T.TIÊTE) - ESPIRITO SANTO PINHAL;Rodoviária Convencional;Ativa
7947;A;VAT VIACAO ADAMANTINA DE TRANSPORTES LTDA;3;ARACATUBA - ILHA SOLTEIRA;Rodoviária Convencional;Ativa
7955;A;CRISTALENSE TRANSPORTES E TURISMO LTDA;1;FRANCA - PEDREGULHO;Semiurbana;Ativa
7964;A;VIAÇÃO PIRACICABANA S/A;3;MARILIA - SÃO PAULO(BARRA FUNDA);Rodoviária Convencional;Ativa
7974;A;VIAÇÃO PIRACICABANA S/A;3;MARILIA - SÃO PAULO(BARRA FUNDA);Rodoviária Convencional;Ativa
7978;A;VIAÇÃO PIRACICABANA S/A;3;MARILIA - SÃO PAULO(BARRA FUNDA);Rodoviário Executivo;Ativa
7981;A;VIAÇÃO PIRACICABANA S/A;3;MARILIA - SÃO PAULO(BARRA FUNDA);Rodoviário Executivo;Ativa
7984;A;VIAÇÃO PIRACICABANA S/A;3;MARILIA - SÃO PAULO(BARRA FUNDA);Rodoviário Leito;Ativa
7986;A;VIAÇÃO PIRACICABANA S/A;3;TUPA - SÃO PAULO(BARRA FUNDA);Rodoviária Convencional;Ativa
7987;A;VIAÇÃO PIRACICABANA S/A;3;TUPA - SÃO PAULO(BARRA FUNDA);Rodoviário Executivo;Ativa
7988;A;VIAÇÃO PIRACICABANA S/A;3;TUPA - SÃO PAULO(BARRA FUNDA);Rodoviário Leito;Ativa
7989;A;VIAÇÃO PIRACICABANA S/A;3;BAURU - SÃO PAULO(BARRA FUNDA);Rodoviária Convencional;Ativa
7991;A;VIAÇÃO PIRACICABANA S/A;3;BAURU - SÃO PAULO(BARRA FUNDA);Rodoviária Convencional;Ativa
7992;A;VIAÇÃO PIRACICABANA S/A;3;BAURU - SÃO PAULO(BARRA FUNDA);Rodoviário Executivo;Ativa
7997;A;VIAÇÃO PIRACICABANA S/A;3;BAURU - SÃO PAULO(BARRA FUNDA);Rodoviário Executivo;Ativa
8012;A;VIAÇÃO SÃO BENTO LTDA;1;RIBEIRAO PRETO - IGARAPAVA;Rodoviária Convencional;Ativa
8012;B;EMPRESA DE TRANSPORTES ANDORINHA S/A;3;PRESIDENTE PRUDENTE - SÃO PAULO(BARRA FUNDA);Rodoviária Convencional;Ativa
8015;A;EMPRESA DE TRANSPORTES ANDORINHA S/A;3;PRESIDENTE PRUDENTE - TERM.ROD.GUARULHOS;Rodoviária Convencional;Ativa
8015;B;EMPRESA DE TRANSPORTES ANDORINHA S/A;3;PRESIDENTE PRUDENTE - SÃO PAULO(BARRA FUNDA);Rodoviário Leito;Ativa
8020;A;EMPRESA DE TRANSPORTES ANDORINHA S/A;3;PRESIDENTE PRUDENTE - TERM.ROD.GUARULHOS;Rodoviário Leito;Ativa
8020;B;EMPRESA DE TRANSPORTES ANDORINHA S/A;3;PRESIDENTE EPITACIO - SÃO PAULO(BARRA FUNDA);Rodoviária Convencional;Ativa
8020;C;EMPRESA DE TRANSPORTES ANDORINHA S/A;3;PRESIDENTE EPITACIO - SÃO PAULO(BARRA FUNDA);Rodoviário Leito;Ativa
8020;D;RAPIDO LUXO CAMPINAS LTDA;1;BOTUCATU - SOROCABA;Rodoviária Convencional;Ativa
8020;E;RAPIDO LUXO CAMPINAS LTDA;1;TATUI - SOROCABA;Rodoviária Convencional;Ativa
8020;F;RAPIDO LUXO CAMPINAS LTDA;1;BOTUCATU - TATUI;Rodoviária Convencional;Ativa
8020;G;RAPIDO LUXO CAMPINAS LTDA;1;TATUI - TORRE DE PEDRA;Rodoviária Convencional;Ativa
8021;A;RAPIDO FENIX VIAÇÃO LTDA;1;CAMPINAS - ATIBAIA;Rodoviária Convencional;Ativa
8034;A;VIAÇÃO COMETA S/A;5;CAMPINAS - P.GRANDE(V.MIRIM);Rodoviária Litorânea;Ativa
8042;A;VIAÇÃO COMETA S/A;5;CAMPINAS - SANTOS(T.MARIT.PASSAGEIROS);Rodoviária Litorânea;Ativa
8042;L;EMPRESA PRINCESA DO NORTE S/A;3;TAQUARITUBA - AVARE;Semiurbana;Ativa
8043;A;VIAÇÃO SÃO BENTO LTDA;1;RIBEIRAO PRETO - SANTO ANTONIO ALEGRIA;Rodoviária Convencional;Ativa
8044;A;VAT VIACAO ADAMANTINA DE TRANSPORTES LTDA;3;ADAMANTINA - ARACATUBA;Rodoviária Convencional;Ativa
8046;A;VIAÇÃO COMETA S/A;5;CAMPINAS - FRANCA;Rodoviária Convencional;Ativa
8047;A;EMPRESA PRINCESA DO NORTE S/A;3;OURINHOS - MARILIA;Rodoviária Convencional;Ativa
8053;A;GUERINO SEISCENTO TRANSPORTES S/A;3;OURINHOS - SAO JOSE DO RIO PRETO;Rodoviária Convencional;Ativa
8054;A;VB TRANSPORTES E TURISMO LTDA;1;PIRACICABA - ARARAQUARA;Rodoviária Convencional;Ativa
8057;A;VB TRANSPORTES E TURISMO LTDA;1;RIO CLARO - ARARAQUARA;Rodoviária Convencional;Ativa
8058;A;VB TRANSPORTES E TURISMO LTDA;1;PIRACICABA - SAO CARLOS;Rodoviária Convencional;Ativa
8058;B;JANDAIA TRANSPORTES E TURISMO LTDA;3;CAIABU - PRESIDENTE PRUDENTE;Semiurbana;Ativa
8064;A;JANDAIA TRANSPORTES E TURISMO LTDA;3;ADAMANTINA - PRESIDENTE PRUDENTE;Semiurbana;Ativa
8065;A;JANDAIA TRANSPORTES E TURISMO LTDA;3;ADAMANTINA - PRESIDENTE PRUDENTE;Semiurbana;Ativa
8072;A;JANDAIA TRANSPORTES E TURISMO LTDA;3;PRESIDENTE PRUDENTE - DRACENA;Semiurbana;Ativa
8072;E;JANDAIA TRANSPORTES E TURISMO LTDA;3;ANHUMAS - PRESIDENTE PRUDENTE;Semiurbana;Ativa
8078;A;VIAÇÃO COMETA S/A;5;CAMPINAS - SAO JOSE DO RIO PRETO;Rodoviária Convencional;Ativa
8079;A;VIAÇÃO COMETA S/A;5;CAMPINAS - SAO JOSE DO RIO PRETO;Rodoviária Convencional;Ativa
8082;A;VIAÇÃO COMETA S/A;5;CAMPINAS - SAO JOSE DO RIO PRETO;Rodoviária Convencional;Ativa
8083;A;J.C. DOS SANTOS & SANTOS TRANSPORTES LTDA - ME;3;AVAI - BAURU;Semiurbana;Ativa
8090;A;VIAÇÃO COMETA S/A;5;CAMPINAS - LORENA;Rodoviária Convencional;Ativa
8107;A;VIAÇÃO PIRACEMA DE TRANSPORTE LTDA;1;PIRACICABA - BOTUCATU;Rodoviária Convencional;Ativa
8107;B;VIAÇÃO PIRACEMA DE TRANSPORTE LTDA;1;PIRACICABA - SAO PEDRO;Rodoviária Convencional;Ativa
8116;A;JANDAIA TRANSPORTES E TURISMO LTDA;3;PRESIDENTE PRUDENTE - INDIANA;Semiurbana;Ativa
8117;A;JANDAIA TRANSPORTES E TURISMO LTDA;3;SANTO EXPEDITO - DRACENA;Semiurbana;Ativa
8127;A;VAT VIACAO ADAMANTINA DE TRANSPORTES LTDA;3;ARACATUBA - GUARARAPES;Semiurbana;Ativa
8128;A;GUERINO SEISCENTO TRANSPORTES S/A;3;MARILIA - PRESIDENTE PRUDENTE;Semiurbana;Ativa
8129;A;GUERINO SEISCENTO TRANSPORTES S/A;3;MARILIA - TUPA;Semiurbana;Ativa
8132;A;AUTO VIAÇÃO OURINHOS ASSIS LTDA;3;CAMPOS NOVOS PAULISTA - CANDIDO MOTA;Semiurbana;Ativa
8136;A;E. MACIEL DE BARROS & CIA. LTDA - EPP;3;PENAPOLIS - LUIZIANIA;Semiurbana;Ativa
8137;A;TURISMAR TRANSPORTE E TURISMO LTDA;3;MARILIA - OCAUÇU;Semiurbana;Ativa
8142;A;TURISMAR TRANSPORTE E TURISMO LTDA;3;MARILIA - LUPERCIO;Semiurbana;Ativa
8142;B;EMPRESA DE TRANSPORTES ANDORINHA S/A;3;PRESIDENTE PRUDENTE - RIBEIRAO PRETO;Rodoviária Convencional;Ativa
8153;A;EMPRESA DE TRANSPORTES ANDORINHA S/A;3;PRESIDENTE PRUDENTE - FRANCA;Rodoviária Convencional;Ativa
8159;A;RAPIDO LUXO CAMPINAS LTDA;1;JUNDIAI - SANTANA DO PARNAIBA;Semiurbana;Ativa
8161;A;RAPIDO LUXO CAMPINAS LTDA;1;JUNDIAI - CAJAMAR;Semiurbana;Ativa
8162;A;RAPIDO LUXO CAMPINAS LTDA;1;CAMPO LIMPO PAULISTA - CAJAMAR;Semiurbana;Ativa
8163;A;RAPIDO LUXO CAMPINAS LTDA;1;JUNDIAI - SANTANA DO PARNAIBA;Semiurbana;Ativa
8164;A;RAPIDO LUXO CAMPINAS LTDA;1;JUNDIAI - CAJAMAR;Semiurbana;Ativa
