n° Autos;Iti;Permissionária;TC;Denominação da Linha;Característica;Situação
1088;A;VIAÇÃO VALE DO TIETE LTDA;2;SÃO PAULO(BARRA FUNDA) - BOTUCATU;Rodoviária Convencional;Ativa
1088;B;VIAÇÃO COMETA S/A;5;SÃO PAULO (T.TIÊTE) - CAMPINAS;Rodoviária Convencional;Ativa
1088;C;VIAÇÃO COMETA S/A;5;SÃO PAULO(BARRA FUNDA) - ITAPETININGA;Rodoviária Convencional;Ativa
1237;A;VIAÇÃO COMETA S/A;5;SÃO PAULO (T.TIÊTE) - AGUAS DA PRATA;Rodoviária Convencional;Ativa
1384;A;VIAÇÃO COMETA S/A;5;SAO BERNARDO DO CAMPO - AGUAS DA PRATA;Rodoviária Convencional;Ativa
1384;B;VIAÇÃO COMETA S/A;5;SAO BERNARDO DO CAMPO - JUNDIAI;Rodoviária Convencional;Ativa
1384;E;VIAÇÃO COMETA S/A;5;SAO PAULO - FRANCA;Rodoviária Convencional;Ativa
1384;L;VIAÇÃO COMETA S/A;5;SAO BERNARDO DO CAMPO - FRANCA;Rodoviária Convencional;Ativa
1804;A;VIAÇÃO COMETA S/A;5;SÃO PAULO (T.TIÊTE) - FRANCA;Rodoviária Convencional;Ativa
1807;A;VIAÇÃO COMETA S/A;5;SAO PAULO - FRANCA;Rodoviário Executivo;Ativa
1839;A;VIAÇÃO COMETA S/A;5;SAO PAULO - FRANCA;Rodoviário Leito;Ativa
2170;A;VIAÇÃO DANUBIO AZUL LTDA;1;COLINA - BARRETOS;Semiurbana;Ativa
2240;A;EXPRESSO ITAMARATI S/A;4;SAO JOSE DO RIO PRETO - UCHOA;Semiurbana;Ativa
2401;A;EXPRESSO ITAMARATI S/A;4;SAO JOSE DO RIO PRETO - IBIRA;Semiurbana;Ativa
2437;A;EXPRESSO ITAMARATI S/A;4;SAO JOSE DO RIO PRETO - URUPES;Semiurbana;Ativa
2451;A;EXPRESSO ITAMARATI S/A;4;UCHOA - IBIRA;Semiurbana;Ativa
2457;A;EXPRESSO ITAMARATI S/A;4;IBIRA - URUPES;Semiurbana;Ativa
2457;E;EXPRESSO ITAMARATI S/A;4;SAO JOSE DO RIO PRETO - ILHA SOLTEIRA;Rodoviária Convencional;Ativa
2480;A;VIAÇÃO VALE DO TIETE LTDA;2;CABREUVA(B.JACARE) - SÃO PAULO(BARRA FUNDA);Rodoviária Convencional;Ativa
2670;A;VIAÇÃO VALE DO TIETE LTDA;2;ITU - SÃO PAULO(BARRA FUNDA);Rodoviária Convencional;Ativa
2712;A;VIAÇÃO VALE DO TIETE LTDA;2;ITUPEVA - SÃO PAULO(BARRA FUNDA);Rodoviária Convencional;Ativa
2741;A;VIAÇÃO LIRA LTDA;1;CAMPINAS - ELIAS FAUSTO;Rodoviária Convencional;Ativa
2749;A;VIAÇÃO LIRA LTDA;1;MONTE MOR - ELIAS FAUSTO;Rodoviária Convencional;Ativa
2749;E;VB TRANSPORTES E TURISMO LTDA;1;KM 8.5 DA SP-101 - GUARULHOS(AER.INT.CUMBICA;Rodoviária Convencional;Ativa
2767;A;VB TRANSPORTES E TURISMO LTDA;1;RAFARD - GUARULHOS(AER.INT.CUMBICA;Rodoviária Convencional;Ativa
2767;B;ELUX S.S. EXPRESSO LUXO SAO PAULO SANTOS LTDA;5;SAO PAULO(T.JABAQUARA) - SANTOS(PONTA DA PRAIA);Rodoviária Litorânea;Ativa
3076;A;ELUX S.S. EXPRESSO LUXO SAO PAULO SANTOS LTDA;5;SÃO PAULO(AER.CONGONHAS) - SANTOS(PONTA DA PRAIA);Rodoviária Litorânea;Ativa
3321;A;ELUX S.S. EXPRESSO LUXO SAO PAULO SANTOS LTDA;5;SÃO PAULO(AER.CONGONHAS) - SANTOS;Rodoviária Litorânea;Ativa
3323;A;ULTRA S/A - TRANSPORTES INTERURBANOS;5;SAO PAULO(T.JABAQUARA) - SAO VICENTE;Rodoviária Litorânea;Ativa
3334;A;VIAÇÃO COMETA S/A;5;SÃO PAULO (T.TIÊTE) - JUNDIAI;Rodoviária Convencional;Ativa
3345;A;VIAÇÃO COMETA S/A;5;SÃO PAULO (T.TIÊTE) - JUNDIAI;Rodoviária Convencional;Ativa
3353;A;VIAÇÃO COMETA S/A;5;SÃO PAULO(BARRA FUNDA) - JUNDIAI;Rodoviária Convencional;Ativa
3353;E;EXPRESSO ITAMARATI S/A;4;SAO JOSE DO RIO PRETO - NOVO HORIZONTE;Semiurbana;Ativa
3408;A;VIAÇÃO COMETA S/A;5;SÃO PAULO(BARRA FUNDA) - SAO JOSE DO RIO PRETO;Rodoviária Convencional;Ativa
3408;B;VIAÇÃO COMETA S/A;5;JUNDIAI - SAO JOSE DO RIO PRETO;Rodoviária Convencional;Ativa
3408;C;VIAÇÃO COMETA S/A;5;SÃO PAULO(BARRA FUNDA) - SAO JOSE DO RIO PRETO;Rodoviária Convencional;Ativa
3432;A;VIAÇÃO COMETA S/A;5;SAO BERNARDO DO CAMPO - SAO JOSE DO RIO PRETO;Rodoviária Convencional;Ativa
3461;A;VIAÇÃO COMETA S/A;5;SÃO PAULO(BARRA FUNDA) - SAO JOSE DO RIO PRETO;Rodoviário Executivo;Ativa
3468;A;VIAÇÃO COMETA S/A;5;SAO BERNARDO DO CAMPO - SAO JOSE DO RIO PRETO;Rodoviário Executivo;Ativa
3688;A;VIAÇÃO COMETA S/A;5;SÃO PAULO(BARRA FUNDA) - SAO JOSE DO RIO PRETO;Rodoviário Leito;Ativa
3778;A;VIAÇÃO COMETA S/A;5;SAO BERNARDO DO CAMPO - SAO JOSE DO RIO PRETO;Rodoviário Leito;Ativa
3809;A;VAT VIACAO ADAMANTINA DE TRANSPORTES LTDA;3;ANDRADINA - ILHA SOLTEIRA;Semiurbana;Ativa
3836;A;EMPRESAS REUNIDAS PAULISTA DE TRANSPORTES LTDA;3;BAURU - ARACATUBA;Rodoviária Convencional;Ativa
3882;A;EMPRESA PRINCESA DO NORTE S/A;3;SÃO PAULO(BARRA FUNDA) - OURINHOS;Rodoviária Convencional;Ativa
3892;A;RAPIDO FENIX VIAÇÃO LTDA;1;BRAGANCA PAULISTA - SÃO PAULO (T.TIÊTE);Rodoviária Convencional;Ativa
3931;A;RAPIDO FENIX VIAÇÃO LTDA;1;ITATIBA - SÃO PAULO (T.TIÊTE);Rodoviária Convencional;Ativa
3966;A;EMPRESA PRINCESA DO NORTE S/A;3;ALVILANDIA - MARILIA(TRP-VELHO);Semiurbana;Ativa
3984;A;EMPRESA PRINCESA DO NORTE S/A;3;SANTA TEREZINHA - MARILIA(TRP-VELHO);Semiurbana;Ativa
4025;A;EMPRESA PRINCESA DO NORTE S/A;3;ALVILANDIA - MARILIA(TRP-NOVO);Semiurbana;Ativa
4025;E;VIAÇÃO SANTA CRUZ LTDA;1;OSASCO - CAMPINAS;Rodoviária Convencional;Ativa
4040;A;VIAÇÃO SANTA CRUZ LTDA;1;SÃO PAULO (T.TIÊTE) - ITAPIRA;Rodoviária Convencional;Ativa
4040;B;VAT VIACAO ADAMANTINA DE TRANSPORTES LTDA;3;BAURU - PIRATININGA;Semiurbana;Ativa
4053;A;VAT VIACAO ADAMANTINA DE TRANSPORTES LTDA;3;PONTO LOJAS TANGER - PRAÇA ESTADIO;Semiurbana;Ativa
4078;A;VAT VIACAO ADAMANTINA DE TRANSPORTES LTDA;3;BAURU - PRAÇA ESTADIO;Semiurbana;Ativa
4103;A;PLENA TRANSPORTES LTDA ME;4;JAU - BOTUCATU;Rodoviária Convencional;Ativa
4140;A;VIAÇÃO DANUBIO AZUL LTDA;1;SÃO PAULO (T.TIÊTE) - SANTA RITA DO P.QUATRO;Rodoviária Convencional;Ativa
4147;A;VIAÇÃO DANUBIO AZUL LTDA;1;SÃO PAULO (T.TIÊTE) - SANTA RITA DO P.QUATRO;Rodoviário Executivo;Ativa
4246;A;CRISTALENSE TRANSPORTES E TURISMO LTDA;1;FRANCA - JERIQUARA;Semiurbana;Ativa
4246;E;VB TRANSPORTES E TURISMO LTDA;1;CAPIVARI - SANTA BARBARA DOESTE;Rodoviária Convencional;Ativa
4262;A;CRISTALENSE TRANSPORTES E TURISMO LTDA;1;FRANCA - USINA DO ESTREITO;Semiurbana;Ativa
4291;A;VIAÇÃO SANTA CRUZ LTDA;1;AGUAI - SAO JOAO DA BOA VISTA;Rodoviária Convencional;Ativa
4291;B;VIAÇÃO SANTA CRUZ LTDA;1;SÃO PAULO (T.TIÊTE) - CACONDE;Rodoviária Convencional;Ativa
4291;C;VIAÇÃO SANTA CRUZ LTDA;1;SÃO PAULO (T.TIÊTE) - SAO JOAO DA BOA VISTA;Rodoviária Convencional;Ativa
4291;D;VIAÇÃO DANUBIO AZUL LTDA;1;CAJURU - SÃO PAULO (T.TIÊTE);Rodoviária Convencional;Ativa
4291;E;VIAÇÃO DANUBIO AZUL LTDA;1;CAJURU - PORTO FERREIRA;Rodoviária Convencional;Ativa
4302;A;VIAÇÃO DANUBIO AZUL LTDA;1;CAJURU - SÃO PAULO (T.TIÊTE);Rodoviário Executivo;Ativa
4303;A;VIAÇÃO COMETA S/A;5;SAO CAETANO DO SUL - P.GRANDE(V.MIRIM);Rodoviária Litorânea;Ativa
4311;A;VIAÇÃO COMETA S/A;5;SÃO PAULO (SÃO MATHEUS) - P.GRANDE(V.MIRIM);Rodoviária Litorânea;Ativa
4317;A;VIAÇÃO COMETA S/A;5;SANTO ANDRE - P.GRANDE(V.MIRIM);Rodoviária Litorânea;Ativa
4319;A;VIAÇÃO COMETA S/A;5;SAO CAETANO DO SUL - SANTOS(T.MARIT.PASSAGEIROS);Rodoviária Litorânea;Ativa
4355;A;CRISTALENSE TRANSPORTES E TURISMO LTDA;1;FRANCA - ITIRAPUA;Semiurbana;Ativa
4359;A;CRISTALENSE TRANSPORTES E TURISMO LTDA;1;FRANCA - PATROCINIO PAULISTA;Semiurbana;Ativa
4361;A;EMPRESA PRINCESA DO NORTE S/A;3;OURINHOS - SANTA CRUZ RIO PARDO;Semiurbana;Ativa
4364;A;AUTO ÔNIBUS DEL OESTE LTDA - EPP;3;PIRAJU - TIMBURI;Semiurbana;Ativa
4384;A;RODOVIÁRIO IBITINGUENSE LTDA;3;BAURU - RIBEIRAO PRETO;Rodoviária Convencional;Ativa
4396;A;EMPRESAS REUNIDAS PAULISTA DE TRANSPORTES LTDA;3;ARACATUBA - SAO JOSE DO RIO PRETO;Rodoviária Convencional;Ativa
4421;A;VIAÇÃO PIRACICABANA S/A;3;SAO PEDRO - SÃO PAULO (T.TIÊTE);Rodoviária Convencional;Ativa
4422;A;VIAÇÃO PIRACICABANA S/A;3;SAO PEDRO - OSASCO;Rodoviária Convencional;Ativa
4424;A;VIAÇÃO PIRACICABANA S/A;3;SAO PEDRO - SÃO PAULO (T.TIÊTE);Rodoviário Executivo;Ativa
4425;A;RAPIDO LUXO CAMPINAS LTDA;1;JUNDIAI - ITUPEVA;Semiurbana;Ativa
4427;A;RAPIDO LUXO CAMPINAS LTDA;1;JUNDIAI - ITUPEVA;Semiurbana;Ativa
4428;A;RAPIDO LUXO CAMPINAS LTDA;1;ITUPEVA - JUNDIAI;Semiurbana;Ativa
4429;A;EMPRESAS REUNIDAS PAULISTA DE TRANSPORTES LTDA;3;CAMPINAS - ARACATUBA;Rodoviária Convencional;Ativa
4430;A;VB TRANSPORTES E TURISMO LTDA;1;BOTUCATU - CAMPINAS;Rodoviária Convencional;Ativa
4433;A;AGOSUZI TRANSPORTES LTDA;3;PENAPOLIS - SALTO AVANHANDAVA;Semiurbana;Ativa
4433;E;VIAÇÃO LIRA LTDA;1;CAMPINAS - JUNDIAI;Rodoviária Convencional;Ativa
4435;A;VIAÇÃO ATIBAIA SÃO PAULO LTDA;1;ATIBAIA - JUNDIAI;Semiurbana;Ativa
4443;A;VB TRANSPORTES E TURISMO LTDA;1;MONTE MOR - CAPIVARI;Rodoviária Convencional;Ativa
